STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Uttar Pradesh,Bijna,25.46,79.02,-4.85,-34.52,4.28
Uttar Pradesh,Sujwan,25.46,79.06,-4.82,-34.16,4.4
Uttar Pradesh,Todi fateh pur_2,25.46,79.11,-5.5,-39.72,4.28
Uttar Pradesh,Dugara,25.45,79.15,-3.29,-28.95,-2.63
Uttar Pradesh,Tai,25.45,79.27,-5.38,-38.74,4.3
Uttar Pradesh,Khorora,25.46,79.31,-5.11,-35.5,5.38
Uttar Pradesh,Bashai,25.38,78.33,-4.34,-32.63,2.09
Uttar Pradesh,Chamrauna,25.38,78.46,-4.99,-36.8,3.12
Uttar Pradesh,Ballampur,25.39,78.53,-3.3,-28.73,-2.33
Uttar Pradesh,Taricha kala,25.44,78.94,-4.53,-35.25,0.99
Uttar Pradesh,Rajgir,25.4,78.99,-5.16,-34.23,7.05
Uttar Pradesh,Aganpura,25.39,79.06,-5.94,-42.9,4.62
Uttar Pradesh,Revan,25.39,79.13,-3.88,-33.53,-2.49
Uttar Pradesh,Budai,25.38,79.17,-5.07,-37.3,3.26
Uttar Pradesh,Barora,25.37,79.28,-5.38,-39.52,3.52
Uttar Pradesh,Baratha,25.4,79.3,-7.39,-50.96,8.16
Uttar Pradesh,Khajura,25.31,78.47,-5.34,-38.13,4.59
Uttar Pradesh,Simnarvani,25.31,78.52,-4.77,-35.8,2.36
Uttar Pradesh,Santpura,25.34,78.86,-5.26,-37.37,4.71
Uttar Pradesh,Bhitora,25.34,78.94,-5.15,-40.66,0.54
Uttar Pradesh,Dhnai Tejpura,25.32,78.99,-3.48,-29.45,-1.61
Uttar Pradesh,Gherah,25.34,79.03,-6.82,-46.73,7.83
Uttar Pradesh,Sayavari,25.33,79.12,-4.87,-40.16,-1.2
Uttar Pradesh,Pachobai_2,25.79,78.94,-4.25,-33.9,0.1
Uttar Pradesh,Chakara,25.31,79.25,-4.99,-35.46,4.46
Uttar Pradesh,chandravani,25.25,78.47,-4.96,-37.19,2.49
Uttar Pradesh,Simaria,25.24,78.52,-5.51,-35.17,8.91
Uttar Pradesh,Khisni,25.28,78.84,-4.36,-31.2,3.68
Uttar Pradesh,Kateragali_rural,25.25,78.93,-6.53,-50.82,1.42
Uttar Pradesh,Kochnera,25.27,78.97,-5.53,-43.79,0.45
Uttar Pradesh,Devisinghura,25.26,79.06,-6.3,-46.16,4.24
Uttar Pradesh,Bhakaura,25.27,79.1,-4.11,-31.82,1.06
Uttar Pradesh,Maloni,25.27,79.16,-4.89,-37.68,1.44
Uttar Pradesh,Kharka,25.27,79.23,-5.92,-40.03,7.33
Uttar Pradesh,Budpura,25.2,78.41,-5.07,-37.4,3.16
Uttar Pradesh,Vijaipur,25.19,78.44,-4.78,-35.02,3.22
Uttar Pradesh,Sekhan,25.18,78.5,-4.89,-33.23,5.89
Uttar Pradesh,Kheriyana,25.21,78.9,-6.39,-44.34,6.78
Uttar Pradesh,Banpura,25.23,79.04,-5.5,-40.82,3.18
Uttar Pradesh,Kuagaon,25.19,79.11,-5.58,-38.06,6.58
Uttar Pradesh,Sijaar Baandh,25.19,79.18,-4.79,-34.7,3.62
Uttar Pradesh,Bhandra,25.21,79.25,-6.06,-41.79,6.69
Uttar Pradesh,Bada Gaon,25.25,79.27,-6.15,-43.65,5.55
Uttar Pradesh,Madwara,25.17,79.15,-5.32,-38.46,4.1
Uttar Pradesh,Near Taktoli,25.14,79.21,-3.88,-29.75,1.29
Uttar Pradesh,Khokora,25.14,79.3,-5.54,-39.42,4.9
Uttar Pradesh,DAMODERPUR,25.461944,83.461869,-5.39,-41.52,1.62
Uttar Pradesh,PAHADPUR,25.4375,83.499808,-4.89,-38.21,0.88
Uttar Pradesh,SABUAN,25.518333,83.420447,-5.81,-43.51,2.96
Uttar Pradesh,SABUAN,25.518333,83.420447,-5.61,-28.35,16.54
Uttar Pradesh,SUAPUR,25.492222,83.414425,-5.79,-43.91,2.39
Uttar Pradesh,KARANDA,25.488333,83.462736,-5.55,-42.56,1.85
